ID,BS0F1s_1,BS0F1s_2,BS0F1s_3,BS0F1s_4,BS0F2s_1,BS0F2s_2,BS0F2s_3,BS0F2s_4,BS1F1s_1,BS1F1s_2,BS1F1s_3,BS1F1s_4,BS1F2s_1,BS1F2s_2,BS1F2s_3,BS1F2s_4,DS0F1s_1,DS0F1s_2,DS0F1s_3,DS0F1s_4,DS0F2s_2,DS0F2s_3,DS0F2s_4,DS1F1s_1,DS1F1s_2,DS1F1s_3,DS1F1s_4,DS1F2s_1,DS1F2s_2,DS1F2s_3,DS1F2s_4,TS0F1s_1,TS0F1s_2,TS0F1s_3,TS0F1s_4,TS0F2s_1,TS0F2s_2,TS0F2s_3,TS0F2s_4,TS1F1s_1,TS1F1s_3,TS1F1s_4,TS1F2s_1,TS1F2s_2,TS1F2s_3,TS1F2s_4
OTU_13862,1,5,1,1,2,0,0,3,0,2,0,2,1,0,2,1,0,0,6,0,2,5,6,2,4,1,3,0,4,8,2,0,0,0,1,0,0,4,0,1,1,0,2,0,1,1
OTU_13863,0,1,2,4,1,3,1,6,2,7,1,3,4,0,3,1,1,7,7,2,2,3,5,5,2,2,1,3,0,2,3,2,2,3,4,6,5,4,1,0,2,4,2,2,5,2
OTU_13864,0,1,0,1,1,0,0,0,0,1,0,2,1,0,0,1,0,0,2,0,0,3,2,0,2,1,3,0,0,0,2,2,0,0,2,0,3,3,4,0,0,2,1,0,2,0
OTU_13865,0,0,1,2,0,0,0,3,3,0,0,1,0,0,1,1,0,0,0,0,0,2,3,0,0,1,2,1,0,3,3,1,0,3,2,1,0,2,2,3,0,2,0,0,1,1
OTU_13866,13,0,1,0,2,2,1,2,4,3,2,2,1,4,0,2,2,2,3,2,1,0,0,10,3,2,3,2,12,0,3,3,1,2,0,10,2,1,1,1,2,0,1,7,2,0
OTU_13867,0,0,1,1,0,1,1,0,0,1,1,5,1,1,1,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,2,0,3,0,2,0,1,2,1,1,1,2,2,1,3,1
OTU_13868,2,1,0,4,2,1,0,2,0,0,0,1,0,2,1,0,0,1,1,0,2,0,1,0,1,0,1,2,0,0,0,0,3,1,1,0,0,2,1,0,0,0,1,0,2,0
OTU_13869,0,0,0,2,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,0,1,2,0,3,0,0
OTU_1387,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_13870,1,0,4,6,2,2,0,2,1,0,2,9,2,1,2,3,2,2,2,1,1,1,2,2,2,2,3,3,0,2,2,1,3,2,6,1,6,1,0,2,1,1,2,1,2,0
OTU_13871,0,0,0,0,1,0,3,0,3,0,0,0,2,0,2,2,2,2,0,4,0,1,0,2,0,1,1,4,0,1,2,0,2,0,0,0,0,0,2,0,1,0,0,1,2,1
OTU_13872,2,0,2,0,0,0,0,0,1,1,2,0,3,1,0,2,4,0,0,0,1,0,0,2,2,1,0,1,2,0,0,0,2,0,1,0,0,1,0,0,3,2,3,1,5,4
OTU_13873,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0
OTU_13874,0,3,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,4,1,7,1,0,0,0,0,0,0,4,5,0,1,1,0,0,0,1
OTU_13875,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,3,2,1,1,3,0,4,3,0,0,2,2,0,3,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0
OTU_13876,3,3,3,0,0,6,0,0,7,10,0,1,2,3,2,4,18,5,4,5,2,9,0,6,2,2,3,3,4,2,5,4,0,2,3,5,3,1,4,2,5,8,7,2,8,8
OTU_13877,0,0,0,1,0,0,0,0,0,1,6,0,0,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0
OTU_13878,26,31,11,23,27,29,25,15,13,18,25,31,15,21,22,10,17,32,27,21,23,17,26,24,18,26,22,20,18,17,12,28,28,18,25,23,21,24,23,19,17,17,18,12,17,14
OTU_13879,2,0,0,1,0,2,0,0,1,0,0,3,0,0,0,0,0,1,3,1,0,1,0,0,2,0,0,0,1,1,0,0,2,1,2,1,0,2,1,0,2,1,0,1,0,0
OTU_1388,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
OTU_13880,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,3,1,0,1,2,0,0,1,0,1,0,1,0,1,2,1,1,0,0,2,1,1,0,0,2,3,1,2
OTU_13881,1,0,0,1,0,1,0,1,1,0,2,1,1,1,1,3,1,2,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,2,0,1,2,1,3,1,7,2
OTU_13882,0,1,2,2,1,0,1,1,1,0,3,2,0,1,0,0,0,1,3,0,1,2,1,0,2,0,2,0,0,2,0,0,1,0,0,1,0,1,0,1,2,0,0,0,1,0
OTU_13883,0,0,2,0,1,3,1,0,0,0,0,2,0,0,3,0,0,1,0,0,1,0,0,0,0,0,4,0,1,1,1,2,0,1,2,0,2,0,2,1,3,0,0,1,0,3
OTU_13884,2,1,3,0,2,5,1,2,3,1,1,0,2,0,5,4,0,6,3,0,3,2,2,0,1,2,2,1,1,0,1,3,2,0,2,1,0,2,2,1,3,1,0,1,1,2
OTU_13885,1,0,0,0,0,0,0,0,0,2,0,0,19,1,0,0,2,0,1,6,0,0,0,1,10,0,0,3,0,1,2,6,0,1,0,0,1,3,2,1,0,0,0,0,0,0
