ID,TS0F1s_1,TS0F1s_2,TS0F1s_3,TS0F1s_4,TS0F2s_1,TS0F2s_2,TS0F2s_3,TS0F2s_4,TS1F1s_1,TS1F1s_3,TS1F1s_4,TS1F2s_1,TS1F2s_2,TS1F2s_3,TS1F2s_4
OTU_1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_119,1,12,0,2,0,1,2,7,1,0,3,2,0,9,575
OTU_1190,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU_1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU_1194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1197,0,82,0,0,0,1,0,0,1,0,0,0,0,0,33
OTU_1198,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
OTU_1199,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OTU_12,2,0,2,2,1,0,3,3,0,1,0,2,1,0,0
OTU_1200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1201,32,25,108,120,26,95,48,306,104,68,59,62,30,36,73
OTU_1202,0,0,0,0,0,0,1,3,0,0,0,2,0,0,5
OTU_1203,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
OTU_1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1207,5,0,0,0,2,4,0,1,2,0,2,1,0,0,0
OTU_1208,2,0,0,4,0,2,1,2,0,2,0,0,0,0,0
OTU_1209,4,0,2,1,1,0,0,0,0,0,0,0,0,0,5
OTU_121,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1
OTU_1211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1215,1,4,0,3,2,2,1,0,0,0,3,4,2,0,23
OTU_1216,101,84,4,5,127,13,15,1,10,17,1,37,37,26,3
OTU_1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1219,0,0,0,1,0,2,1,1,0,0,0,1,4,4,0
OTU_122,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
OTU_1220,10,32,31,5,2,8,4,0,1,1,1,0,0,9,15
OTU_1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1222,2,0,4,1,0,1,0,0,0,0,0,4,0,4,0
OTU_1223,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1
OTU_1224,1,1,2,0,3,0,0,0,7,7,7,9,49,3,6
OTU_1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1226,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0
OTU_1227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
OTU_1228,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
OTU_1229,2,0,0,2,2,0,0,16,0,2,0,2,3,18,0
OTU_123,0,2,2,2,4,4,3,0,1,1,0,1,1,0,2
OTU_1230,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
OTU_1231,3,0,2,0,0,0,0,0,0,1,1,0,0,1,2
OTU_1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1235,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
OTU_1236,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
OTU_1237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_1238,7,4,21,13,5,21,1,10,8,8,11,0,18,3,151
OTU_1239,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1242,0,1,3,0,0,1,0,0,0,8,0,0,0,7,0
OTU_1243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1248,0,0,0,1,1,0,0,0,1,4,0,2,2,7,52
OTU_1249,1,1,2,0,1,2,0,3,2,1,7,0,10,1,2
OTU_125,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1251,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0
OTU_1252,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_1253,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1
OTU_1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1255,0,0,0,0,0,0,0,0,1,1,2,2,0,0,2
OTU_1256,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
OTU_1257,2,0,0,0,0,1,1,1,1,2,1,3,1,2,2
OTU_1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_126,0,1,1,0,0,1,4,0,0,0,1,2,0,5,19
OTU_1260,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
OTU_1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1263,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU_1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1265,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
OTU_1266,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_1267,7,20,6,13,13,11,14,10,6,11,7,18,5,14,8
OTU_1268,83,138,82,60,91,24,87,86,72,47,64,78,22,46,45
OTU_1269,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
OTU_1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1278,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_1279,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTU_1280,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU_1281,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU_1282,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2
OTU_1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1285,180,163,142,191,261,191,101,93,171,176,316,138,229,172,84
OTU_1286,10,11,4,4,4,8,2,4,8,15,5,10,10,6,3
OTU_1287,0,0,0,2,0,1,2,1,0,0,0,0,0,1,0
OTU_1288,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
OTU_1289,4,18,4,6,3,7,25,14,3,4,3,5,3,8,1
OTU_129,0,2,0,0,0,0,1,2,0,0,2,0,2,0,0
OTU_1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1291,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OTU_1292,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_1293,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0
OTU_1294,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1297,141,159,198,157,163,96,147,75,106,206,193,178,136,144,88
OTU_1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1299,6,10,4,16,4,2,46,37,4,5,15,2,2,11,13
OTU_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_1300,9,20,36,81,7,72,120,352,16,8,39,8,4,16,103
OTU_1301,44,29,34,38,21,48,27,16,39,38,52,33,65,17,79
OTU_1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1303,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
OTU_1304,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
OTU_1305,0,0,2,1,0,1,1,2,2,0,2,0,0,1,0
OTU_1306,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU_1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU_1308,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1316,4,11,24,13,6,7,2,2,7,17,15,10,13,0,75
OTU_1317,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_1318,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
OTU_1319,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OTU_132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU_1320,0,1,0,0,0,0,3,3,0,0,0,0,0,1,0
OTU_1321,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1322,3,5,1,1,1,5,2,2,0,2,1,3,1,2,0
OTU_1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1326,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
OTU_1327,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
OTU_1328,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU_1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_133,2,0,0,3,2,1,1,0,0,0,0,0,1,0,2
OTU_1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1331,3,1,0,1,0,1,2,0,2,1,1,1,1,5,1
OTU_1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_1334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_1335,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU_1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1337,27,5,25,5,16,98,7,6,66,3,9,3,9,3,63
OTU_1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1339,0,1,0,0,0,0,0,0,0,1,1,0,0,51,0
OTU_134,1,0,0,4,1,1,0,0,0,0,0,0,1,0,1
OTU_1340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
