s.BF	s.DF	s.TF	index	stat	p.value
OTU_3266	1	0	0	1	0.332137982176418	0.0629
OTU_3267	1	1	0	4	0.117378400090624	0.7268
OTU_3282	0	1	0	2	0.561169805985498	3e-04
OTU_3283	0	1	0	2	0.152771946611169	0.8311
OTU_3300	0	0	1	3	0.445840545041178	0.0061
OTU_3302	0	1	0	2	0.198590806320805	0.4325
OTU_3308	1	0	0	1	0.152663951775862	0.7048
OTU_3309	0	1	0	2	0.392501501145604	9e-04
OTU_3319	1	1	0	4	0.284996799155004	0.1152
OTU_3323	1	1	0	4	0.2383069459854	0.2575
OTU_3345	0	1	1	6	0.140800158616256	0.6664
OTU_335	0	0	1	3	0.0713349433268685	0.8977
OTU_3355	0	1	0	2	0.578230825770127	1e-04
OTU_3356	0	1	0	2	0.297832054700658	0.0431
OTU_3363	1	1	0	4	0.305156521865173	0.0993
OTU_3369	0	0	1	3	0.419702415497067	0.0071
OTU_3371	0	1	1	6	0.227278034916216	0.2712
OTU_3381	1	0	1	5	0.0788124121972491	0.865
OTU_3390	0	1	0	2	0.317982734532865	0.0702
OTU_3394	0	1	0	2	0.171432546527314	0.536
OTU_3395	0	1	0	2	0.154350444189555	0.5732
OTU_3396	0	1	0	2	0.190788998606495	0.7879
OTU_3411	0	1	0	2	0.171099256702199	0.4981
OTU_3412	1	0	0	1	0.18379733911186	0.949
OTU_3425	0	1	0	2	0.286528457067145	0.1265
OTU_345	1	0	0	1	0.302504340869463	0.0973
OTU_3489	1	1	0	4	0.144932273473564	0.7238
OTU_349	1	0	0	1	0.217801554535663	0.3402
OTU_3498	1	1	0	4	0.200127731539555	0.3824
OTU_3504	1	1	0	4	0.271400888670505	0.1615
OTU_3510	1	0	0	1	0.276835263059744	0.1252
OTU_3527	0	0	1	3	0.247150735551016	0.2184
OTU_3531	0	0	1	3	0.130118201104293	0.6828
OTU_3537	1	0	0	1	0.366953610307085	0.0044
OTU_3539	1	0	0	1	0.248919480046205	0.0045
OTU_3544	1	0	0	1	0.282062944939328	0.133
OTU_3546	1	0	0	1	0.532466241843866	6e-04
OTU_3553	0	1	0	2	0.0937906570679464	0.8371
OTU_3554	1	0	0	1	0.377507902855226	0.0219
OTU_3555	1	0	0	1	0.53359095309369	7e-04
OTU_3559	0	1	0	2	0.31692807122591	0.0123
OTU_3563	0	1	1	6	0.0869517326198187	0.861
OTU_3584	1	1	0	4	0.341026178450327	0.0457
OTU_359	0	1	0	2	0.0997388265965979	0.7983
OTU_3595	1	1	0	4	0.241402895131379	0.2465
OTU_3604	1	0	0	1	0.303590516555379	0.0278
OTU_3606	1	0	0	1	0.617710546706987	2e-04
OTU_3613	1	0	0	1	0.469982146911412	0.0021
OTU_3627	1	1	0	4	0.140885129450806	0.7402
OTU_3639	1	1	0	4	0.355929464290693	0.0351
OTU_3641	1	1	0	4	0.143343609126146	0.6593
OTU_3676	0	0	1	3	0.160026911188912	0.9019
OTU_3683	1	0	0	1	0.444158766615692	0.0043
OTU_3687	1	1	0	4	0.144998768638949	0.8213
OTU_369	1	0	1	5	0.195534279115122	0.4347
OTU_370	1	0	0	1	0.334924106330713	0.0576
OTU_3701	1	0	1	5	0.0474680880578445	0.9497
OTU_3707	0	1	0	2	0.151652898305329	0.8858
OTU_3716	1	0	0	1	0.353195287400172	0.037
OTU_3721	1	0	0	1	0.354133080832236	0.0362
OTU_3723	1	0	0	1	0.375380951247952	0.0184
OTU_3728	1	0	0	1	0.261485452878877	0.1398
OTU_3730	1	1	0	4	0.163281451920882	0.5739
OTU_3736	1	1	0	4	0.28964062038194	0.1117
OTU_3742	1	0	0	1	0.429087006969347	0.0078
OTU_3747	1	0	0	1	0.282947632690744	0.1076
OTU_3750	1	0	1	5	0.138428458925996	0.6776
OTU_3754	1	1	0	4	0.347432226350326	0.0399
OTU_3759	1	1	0	4	0.17724788459556	0.5292
OTU_3766	1	0	0	1	0.42877679758508	0.0055
OTU_3770	1	0	0	1	0.319534865376635	0.0301
OTU_3786	1	0	0	1	0.329841786240506	0.0174
OTU_3787	1	0	0	1	0.355631543765782	0.0343
OTU_3790	1	1	0	4	0.221421468143727	0.3454
OTU_3796	0	0	1	3	0.394499701321863	0.0152
OTU_3809	1	1	0	4	0.294266482344163	0.0976
OTU_3822	1	0	0	1	0.444087553375701	7e-04
OTU_3825	1	0	0	1	0.271626495439102	0.1547
